file_name,text
dfD7GGotexs.wav.png,a spectrogram of bird song
5UUf4vEJSX4.wav.png,a spectrogram of bird song
kSu1zqB4Ttc.wav.png,a spectrogram of bird song
Zne7nhlzUBQ.wav.png,a spectrogram of bird song
U_5ZaPrWcbM.wav.png,a spectrogram of bird song
9udlcVVxlMY.wav.png,a spectrogram of bird song
KWD3SUy0WvA.wav.png,a spectrogram of bird song
EtPIEB0fbzA.wav.png,a spectrogram of bird song
DaD0gvQnqyo.wav.png,a spectrogram of bird song
xi4z5O0VUFU.wav.png,a spectrogram of bird song
xb_cRKUoACM.wav.png,a spectrogram of bird song
pQk4a5fJrBc.wav.png,a spectrogram of bird song
G8tT-uKj3Ls.wav.png,a spectrogram of bird song
tM5eEL9a7Ws.wav.png,a spectrogram of bird song
c8Px0sQlKJc.wav.png,a spectrogram of bird song
Gd8v14IzF7E.wav.png,a spectrogram of bird song
H2w1DwepGx8.wav.png,a spectrogram of bird song
bX9WV-IwkIk.wav.png,a spectrogram of bird song
Rbggyp_dUdo.wav.png,a spectrogram of bird song
E-As4tECwcQ.wav.png,a spectrogram of bird song
FSm6Z98ALhw.wav.png,a spectrogram of bird song
B-taUyzj_yc.wav.png,a spectrogram of bird song
0kuZvI5eQwg.wav.png,a spectrogram of bird song
MOV9rXOes3k.wav.png,a spectrogram of bird song
H_Bcux0FRxM.wav.png,a spectrogram of bird song
5_vuxyPOuiY.wav.png,a spectrogram of bird song
L52FAJDaa48.wav.png,a spectrogram of bird song
uQ_8yeZanss.wav.png,a spectrogram of bird song
YykyGidfpfw.wav.png,a spectrogram of bird song
9n-7KuMjTN8.wav.png,a spectrogram of bird song
WCFt-dggFlk.wav.png,a spectrogram of bird song
TPGgOyJVZDw.wav.png,a spectrogram of bird song
xIY4UbYa8K8.wav.png,a spectrogram of bird song
TiFboW8mqd4.wav.png,a spectrogram of bird song
AoSIhCUpTYo.wav.png,a spectrogram of bird song
KI4Fhv3fy8w.wav.png,a spectrogram of bird song
_xlD3t6JJnk.wav.png,a spectrogram of bird song
D7WIcFJ1Ye4.wav.png,a spectrogram of bird song
Qp8zD7i5DiQ.wav.png,a spectrogram of bird song
5k6EjPymsRc.wav.png,a spectrogram of bird song
9ipmg9ilx-Q.wav.png,a spectrogram of bird song
PMVia-zf_3I.wav.png,a spectrogram of bird song
1nF0Pv-VBSc.wav.png,a spectrogram of bird song
W77s6g96F5g.wav.png,a spectrogram of bird song
Ruwtz5H2Jvg.wav.png,a spectrogram of bird song
6L8bljNWiwU.wav.png,a spectrogram of bird song
m-Hl77LCkWw.wav.png,a spectrogram of bird song
j_ZwYJNu5mE.wav.png,a spectrogram of bird song
OXeIdX9T5HY.wav.png,a spectrogram of bird song
fqC3qK22QZg.wav.png,a spectrogram of bird song
KwV6rzffSLo.wav.png,a spectrogram of bird song
ReMkPJkfwYc.wav.png,a spectrogram of bird song
_xyL-xn_QVE.wav.png,a spectrogram of bird song
KZXC1iouJyo.wav.png,a spectrogram of bird song
1E_3Grl-3PA.wav.png,a spectrogram of bird song
y63vbjQjajs.wav.png,a spectrogram of bird song
frNeSUlR8ZI.wav.png,a spectrogram of bird song
GYMBIGTteWA.wav.png,a spectrogram of bird song
EodzL5d9A78.wav.png,a spectrogram of bird song
DTieJvYa-sA.wav.png,a spectrogram of bird song
ZPZa1zMpxBU.wav.png,a spectrogram of bird song
pjibJEFb2H4.wav.png,a spectrogram of bird song
nRzegL8_k7U.wav.png,a spectrogram of bird song
9aj2vwm0GnU.wav.png,a spectrogram of bird song
QFAZGNVnxiM.wav.png,a spectrogram of bird song
e78QzuLkfkY.wav.png,a spectrogram of bird song
mL3GCt-X9Nk.wav.png,a spectrogram of bird song
QALSel8mz-o.wav.png,a spectrogram of bird song
606_Owd6dHs.wav.png,a spectrogram of bird song
kAUv1B-_wGc.wav.png,a spectrogram of bird song
PJ0ubQXmWMg.wav.png,a spectrogram of bird song
Q0K4lLjQNt0.wav.png,a spectrogram of bird song
p_f9eTjcNW4.wav.png,a spectrogram of bird song
qVfIADlOBvA.wav.png,a spectrogram of bird song
MIV0-6O-dLM.wav.png,a spectrogram of bird song
6eE83gQGrFg.wav.png,a spectrogram of bird song
OBSce-F-DWc.wav.png,a spectrogram of bird song
DVEuOBxAyFM.wav.png,a spectrogram of bird song
m1yOTcjRjcM.wav.png,a spectrogram of bird song
1IFfUjdN91k.wav.png,a spectrogram of bird song
u3JOc_YOJ0w.wav.png,a spectrogram of bird song
_yqlQimkHpQ.wav.png,a spectrogram of bird song
l4ZGhLhhoHw.wav.png,a spectrogram of bird song
pEnzIOeXAzI.wav.png,a spectrogram of bird song
g11bBrhKvug.wav.png,a spectrogram of bird song
fppKGJD3Y6c.wav.png,a spectrogram of bird song
oiX9Q3Lm4jg.wav.png,a spectrogram of bird song
W4oEM0W6mhM.wav.png,a spectrogram of bird song
ycXARBCdxBg.wav.png,a spectrogram of bird song
hjnc1kHMDDo.wav.png,a spectrogram of bird song
od7-KBOwqAA.wav.png,a spectrogram of bird song
rfmZO9W4y-c.wav.png,a spectrogram of bird song
rL4Z9d9oObY.wav.png,a spectrogram of bird song
kAHeqfOrmdM.wav.png,a spectrogram of bird song
B3CwXuvzvHI.wav.png,a spectrogram of bird song
HAS6G7Uq4Oc.wav.png,a spectrogram of bird song
f24GI12Moe4.wav.png,a spectrogram of bird song
I3_SwBhnUj0.wav.png,a spectrogram of bird song
4IZkyZOivZg.wav.png,a spectrogram of bird song
nwZC-m2SrUc.wav.png,a spectrogram of bird song
SeuVGJhjpA4.wav.png,a spectrogram of bird song
97HvGCTb-9s.wav.png,a spectrogram of bird song
xfdv5FQOJfU.wav.png,a spectrogram of bird song
jMRe1RPinY0.wav.png,a spectrogram of bird song
93b0scnqSOw.wav.png,a spectrogram of bird song
-aC8TJIZrtE.wav.png,a spectrogram of bird song
EWV8CU6X6HA.wav.png,a spectrogram of bird song
h0sfi8X3ws4.wav.png,a spectrogram of bird song
eE8QMTqL01I.wav.png,a spectrogram of bird song
d9OBqYbZ99c.wav.png,a spectrogram of bird song
ng2I7GnYkRA.wav.png,a spectrogram of bird song
ZPK1hSPI540.wav.png,a spectrogram of bird song
w9EaZnTnqjc.wav.png,a spectrogram of bird song
3-qJcZmDu4Q.wav.png,a spectrogram of bird song
YKFVMnQqoWI.wav.png,a spectrogram of bird song
kfn6eQFFfg0.wav.png,a spectrogram of bird song
sAbeKEHArvw.wav.png,a spectrogram of bird song
0aKuES6SO2k.wav.png,a spectrogram of bird song
aGMSGAinfQQ.wav.png,a spectrogram of bird song
EJE5_d-yauI.wav.png,a spectrogram of bird song
-kBZeTTEOGc.wav.png,a spectrogram of bird song
QGGy_B7hshY.wav.png,a spectrogram of bird song
